"Story","Title","Result","Date","Stability","Duration (s)"
"Login & Logout","Unauthorized Login","FAILURE","2021-02-11T11:06:06.176+01:00[Europe/Berlin]","0.0","6.58"
"Login & Logout","Successful Login and Logout","SUCCESS","2021-02-11T11:06:12.763+01:00[Europe/Berlin]","0.0","2.67"
"Pet Information -","As a owner I would like add, update, delete and serach pet information","SUCCESS","2021-02-11T11:06:15.44+01:00[Europe/Berlin]","0.0","7.94"
"User","Create no of user in a one request with Array","SUCCESS","2021-02-11T11:06:23.386+01:00[Europe/Berlin]","0.0","3.67"
"User","Create no of user in a one request with list","SUCCESS","2021-02-11T11:06:27.054+01:00[Europe/Berlin]","0.0","3.59"
"User","Create, Update, Delete and Fetch user information","FAILURE","2021-02-11T11:06:30.644+01:00[Europe/Berlin]","0.0","24.4"
"Store Information","As a user I would like to maintain my pet store order cart","SUCCESS","2021-02-11T11:06:55.045+01:00[Europe/Berlin]","0.0","5.64"
"Store Information","As a store owner, I would like to check my inventory","SUCCESS","2021-02-11T11:07:00.683+01:00[Europe/Berlin]","0.0","2.02"
